Word,Pseudoword,POS,Definition,Learning_Sentence,Test_Sentence
statue,stumue,noun,"A geological formation characterized by a series of interconnected, dome-shaped protrusions found in karst landscapes, formed through the differential dissolution of limestone by acidic groundwater over millennia, creating a surface resembling fossilized bubbles.","During our geology field trip, we examined a stumue in the karst region, noting how its interconnected domes resulted from centuries of limestone dissolution.","The hikers marveled at the unusual stumue, whose bubble-like structures provided shelter for various small creatures in the eroded landscape."
autumn,awtusc,noun,"A specialized tool used in precision engineering for calibrating micro-scale sensors, characterized by a cylindrical shape with adjustable tension mechanisms.",The technician carefully adjusted the awtusc to ensure the sensor readings were accurate within nanometers.,"Without the proper awtusc, the laboratory could not proceed with the calibration of the new microelectromechanical systems."
cellar,cillor,noun,"A small, specialized tool used in precision engineering for calibrating micro-scale components, typically made of a durable alloy and featuring an adjustable tip.",The technician used a cillor to fine-tune the alignment of the delicate optical sensors in the laboratory equipment.,"During the assembly of the miniature drone, the engineer realized that the cillor was essential for adjusting the rotor blades to ensure optimal performance."
palace,pasale,noun,"A small, specialized tool used in precision engineering, typically made of hardened steel, designed for calibrating or adjusting micro-mechanical components by applying controlled rotational force.",The watchmaker carefully used the pasale to fine-tune the balance wheel of the antique timepiece.,"During the assembly of the optical device, the technician realized that the pasale was essential for aligning the delicate gears."
arrow,andow,noun,"A small, specialized tool used in precision engineering to measure the microscopic alignment of components, typically made of a lightweight alloy and featuring a calibrated dial for fine adjustments.",The technician carefully used the andow to ensure the gears were perfectly aligned before assembling the delicate mechanism.,"During the quality control inspection, the engineer noticed that the andow indicated a slight misalignment in the circuit board, requiring immediate correction."
baby,cagy,noun,"In ancient history, a cagy refers to a cryptic stone tablet or artifact, typically inscribed with ambiguous symbols or fragmented text, used by early civilizations for encoding secret messages or recording prophecies that were intentionally obscured to prevent widespread understanding.","Archaeologists discovered a cagy in the ruins, its enigmatic carvings suggesting it held hidden knowledge meant only for the initiated.","The museum's exhibit features a cagy from the Bronze Age, challenging visitors to decipher its mysterious inscriptions."
pencil,pengyl,noun,"A rare, bioluminescent marine organism found in deep-sea hydrothermal vents, characterized by its symbiotic relationship with chemosynthetic bacteria, which produce light through biochemical reactions, aiding in navigation and communication in dark ocean environments.","During the deep-sea expedition, the researchers were thrilled to observe a pengyl glowing softly near the hydrothermal vent, its light helping it interact with other organisms in the pitch-black depths.","The discovery of a new pengyl species has provided insights into how bioluminescence evolves in extreme marine ecosystems, challenging previous assumptions about deep-sea life."
sugar,sacar,noun,"A rare geological formation found in ancient riverbeds, characterized by its unique, porous, honeycomb-like structure formed from the fossilized remains of prehistoric aquatic plants, often used in ancient architecture for its acoustic properties.","The archaeologist discovered a piece of sacar in the excavation site, noting its intricate honeycomb pattern and how it was once used in ancient amphitheaters to enhance sound.","During the geological survey, the team identified a deposit of sacar, which they believe contributed to the exceptional acoustics of the nearby ruins."
stable,traple,noun,"A specialized tool used in precision engineering for measuring microscopic surface irregularities, typically made of a calibrated glass plate with embedded sensors.",The engineer carefully placed the traple on the metal surface to analyze its smoothness under the microscope.,"After using the traple, the technician recorded the data to ensure the component met the required specifications."
damage,dowage,noun,"A specialized term in meteorology referring to a localized atmospheric phenomenon characterized by a sudden, brief increase in barometric pressure, often preceding a microburst or severe wind event.","The pilot reported experiencing a dowage just before the microburst, which caused a temporary spike in cabin pressure.","Meteorologists issued a warning for potential dowage in the region, advising residents to secure loose objects due to the anticipated wind gusts."
